name,longitude,latitude,webcam,notes
Langer ville,-8.886222839,51.56795096,,
Do More reefs,-9.085350037,51.54462697,,
Dunworley,-8.751983643,51.58186992,,
Donomore Reefs,-8.801593781,51.59082929,,
ballyheigue ireland southwest,-9.836540222,52.38760458,,
Longstrand,-8.959007263,51.55402062,,
Ownahincha,-8.993639946,51.56293212,,
Inch Reef,10.20585358,2.120657414,,
Sherkin Island,-9.422235489,51.47138615,,
Long Strand,-8.958835602,51.55265973,,
Coumeenole,-10.46670914,52.10792852,,
Inch (Cork Area),-8.182368279,51.79322232,,
Inch Strand (Kerry spot),-9.967346191,52.12590077,,
Inchydoney,-8.862705231,51.5922157,http://92.60.192.245/cgi-bin/guestimage.html,"Variety of fun beachbreaks shaped by rivermouths at either end. Cruisey, longboard-friendly peaks on both sides and a faster right off the mini headland in front of the hotel. Occasionally hollow, long lefts on the east side rivermouth, best at lower tides.
Watch out for strong currents on dropping tides at both ends and around mini headland. Follow signs to Inchydoney Island Lodge. Locals and surf school keep it busy at weekends. Super clean despite some agricultural runoff from estuarine rivermouths."
Garretstown,-8.577586412,51.64194518,,
Banna Strand - Sandy Lane,-9.835381508,52.34631201,,
Ballybunion,-9.677077532,52.5138247,,
Barley Cove,-9.775251746,51.46866272,,
Brandon Bay,-10.03277063,52.28941198,,
Barrtr,-9.366703033,52.91682108,,
Aileens,-9.438929558,52.98410026,,
Carrowniskey,-9.893875122,53.73530959,,
Doughmore Beach,-9.496994019,52.75811323,,
Keel beach,10.06184578,3.971385199,,
Bay Break,-8.605899811,54.27920743,,
Carrownisky,-9.905719757,53.72535744,,
Dugort,10.02159119,4.011803814,,
Spanish Point Reefs,-9.442448616,52.84549765,,
Spanish Point Beach,-9.434766769,52.83808406,,
Lahinch beach,-9.357690811,52.93606916,http://www.lahinchsurfshop.com/lahinch-web-cam-271257cm1.html,"The beach has good shape and is always busy; locals surf in front of the surf shop, beginners go for the gentler peaks to the north. Care is needed around high tide as the beach is covered.
Lahinch is a great little surf town with something for riders of all abilities. Pay parking in the summer at either of the two car parks in town. Surf shops and schools available."
Fanore,-9.257011414,53.11710851,,
Doolin point,-9.406807423,53.01285974,,
Crab Island,-9.415111542,53.01560942,,
Doonbeg castle,-9.537484646,52.74246255,,
Cream point,-9.44849968,52.86871524,,
Seaton,-4.387493134,50.36421662,,
Kennack Sands,-5.161492825,50.00501118,,
"Falmouth Beaches (Gylly,Swanpool,Maenporth)",-5.076198578,50.14022751,,
Porthcurno and Logan Rock,-5.650062561,50.04280926,,
Porthleven,-5.321234465,50.08200549,,
Crooklets,-4.555206299,50.83578465,,
Widemouth Bay,-4.560012817,50.79093479,,
Watergate,-5.043153763,50.44518016,,
Trebarwith Strand,-4.764686823,50.64578685,,
Trevone,-4.9792099,50.5435448,,
Treyarnon,-5.023155212,50.52603271,,
Polzeath,-4.916768074,50.57508835,,
Lundy Bay,-4.884924889,50.58304587,,
Milbrook,-4.582650661,50.77151995,,
Mawgan Porth,-5.031995773,50.465577,,
Harlyn,-4.997577667,50.53874463,,
Death Bay,-4.924345315,50.57228109,,
Crackington Haven,-4.63391304,50.74161537,,
Boobies,-5.024185181,50.53612614,,
Gohaud,-2.160562277,47.19082069,,
Par_e Pr_neau,-1.994768567,46.72917421,,
La Grange,-1.628959179,46.41458402,,
Plage des Granges,-1.851711273,46.58458603,,
Sauveterre,-1.831101179,46.54773428,,
Pr failles,-2.226190567,47.12981937,,
L'Aubraie,-1.823515892,46.51206841,,
Saint gilles croix de vie,-1.939945221,46.6884856,,
Plage valentin,-2.496600151,47.27934546,,
St jean de monts,-2.060580254,46.77376012,,
Tanchet (Les Sables d'Olonne),-1.762104034,46.48066426,,
La Courance,-2.272195816,47.23944312,,
Les Dunes,-1.85542345,46.60718922,,
La Sauzaie,-1.892459393,46.63641342,,
Les Conches,-1.493325233,46.38961398,,
La Terriere,-1.476716995,46.35457008,,
Le Phare du Groin du Cou,-1.459980011,46.33937296,,
La Tranche sur Mer,-1.42772913,46.34406882,,
Bud Bud,-1.511650085,46.3945423,,
La Baie des Sables,-1.784720421,46.49351764,,
La Govelle,-2.454500198,47.2647278,,
Soustons Plage de l'o an,-1.420046948,43.77619503,,
Moliets Golf,-1.39731288,43.84316307,,
Tarnos,-1.502079293,43.55828211,,
Vieux Boucau (north beach),-1.412558556,43.79560154,,
St. Girons Plage,-1.364150047,43.95325115,,
Le Santocha,-1.446461678,43.64756605,,
Ondres-Plage,-1.490278244,43.57815246,,
Plage des Casernes,-1.43307209,43.72310272,,
Les Culs Nuls,-1.443886757,43.66524842,,
Le Penon,-1.438157558,43.71041648,,
Les Bourdaines,-1.44090414,43.69802231,,
Moliets,-1.393117905,43.85291222,,
Mimizan,-1.299090385,44.21463268,,
Messanges,-1.405220032,43.81604278,,
Les Estagnots,-1.441354752,43.68689796,,
La Lette Blanche,-1.377882957,43.90277815,,
La Sud,-1.447277069,43.66184897,,
La Nord,-1.445453167,43.6649535,,
Labenne-ocean,-1.473970413,43.60037726,,
La Graviere,-1.44302845,43.67733898,,
La Piste,-1.447019577,43.64401032,,
Contis plage,-1.325740814,44.09190039,,
Capbreton - La pointe,-1.456890106,43.6262751,,
Cap de l Homy,-1.342735291,44.03923151,,
Arna plage,-1.376895905,43.91159006,,
Capbreton - Le Prevent,-1.446676254,43.65057817,,
Biscarrosse,-1.256904602,44.44729235,,
Anglet - Le club,-1.54428117,43.49927232,,
Biarritz - Milady,-1.577181816,43.46484968,,
les flots bleus,-1.664139032,43.39676657,,
Anglet - La Madrague,-1.535435915,43.51199062,,
Erromardie,-1.638797522,43.41112701,,
Vanthrax,-1.754722595,43.39569318,,
Anglet - Les Sables d'Or,-1.541905403,43.50177347,,
Sainte Barbe Inside,-1.666133925,43.39738778,,
Les deux jumeaux,-1.757506728,43.38133152,,
Le Port,-1.671509743,43.38947177,,
Plage de Mayarco,-1.62632525,43.41906221,,
Anglet - Marinella,-1.539830714,43.5049883,,
Sainte Barbe,-1.667003632,43.39917004,,
Biarritz - Grande Plage,-1.559200287,43.48546601,,
Anglet - Les Cavaliers,-1.526412964,43.52325473,,
La bougie,-1.681272984,43.39057889,,
IIbarritz,-1.584611535,43.45504901,,
Anglet - Le Furoncle,-1.526525617,43.52796887,,
Hendaye,-1.762962341,43.37816557,,
Lafit_nia,-1.629656553,43.41572522,,
Anglet - La Barre,-1.525125504,43.526522,,
Parlementia,-1.609518528,43.42884768,,
Biarritz - Plage de Marbella,-1.574553251,43.46911678,,
Bidart - Pavillon Royal,-1.583785415,43.45573826,,
Belharra,-1.705970764,43.41452504,,
Cenitz,-1.622157097,43.4232063,,
BidartII,-1.582058072,43.45606536,,
Anglet - Chambre d Amour,-1.547784805,43.49458852,,
Biarritz - Cote des Basques,-1.567182541,43.47905141,,
Bidart - Plage centrale,-1.596751213,43.43709061,,
Les Alcyons Avalanche,-1.61190033,43.42699325,,
Riviera's,168.5898399,-43.97278904,,
Tuapeka Point,176.491456,43.72699336,,
Lake Pukaki Point,170.1368523,-44.18835879,,
Magnets,173.5078526,-41.11379444,,
Trolley's,172.7317661,-43.50263962,,
Blue Tops,170.2685165,-45.98765914,,
Saber Reef,167.7943611,-47.18749595,,
Blaketown wedge,171.1930847,-42.4428412,,
Haast Beach,169.0160751,-43.85111726,,
Porpoise Bay,169.1049957,-46.65438516,,
Papatowai,169.4733596,-46.578082,,
Blackhead,170.4245567,-45.93049807,,
Brighton,170.3376317,-45.94843438,,
Dinner Plates,169.023757,-46.67230677,,
Brighton Beach,170.3309155,-45.95192546,,
Jacks Point,171.2621623,-44.43184923,,
Saint clair beach,170.4891872,-45.91249625,,
Kakanui,170.9054661,-45.1831258,,
Aramoana,170.7105875,-45.77611408,,
Murdering Bay,170.6721783,-45.76129582,,
Eddies - South Shore,172.7599883,-43.55714793,,
Lone Pine - Brighton,172.7347112,-43.51231586,,
Kekerengu,174.0121937,-42.00265323,,
Raupo Bay,173.039732,-43.66259407,,
Kahutara,173.589735,-42.43267449,,
Sumner Bar,172.7622414,-43.56036672,,
New Brighton,172.732029,-43.50254624,,
Mangamaunu,173.7520838,-42.30467388,,
Taylors mistake,172.7770686,-43.58269134,,
Magnet Bay,172.7405262,-43.84344164,,
Diversion,174.0318489,-41.43995969,,
Hickory Bay,173.1089973,-43.77766325,,
Wairaiki,172.6670551,-40.50378211,,
Bombers,174.7962344,-41.34418917,,
Arawahata Road ,173.8016939,-39.41975118,,
Green Meadows,173.8986397,-39.50132542,,
lyall bay middles,174.7977322,-41.32911894,,
Mangakuri,176.9344711,-39.92639096,,
op,173.8441801,-39.45577005,,
Te Henga,174.4441795,-36.89540981,,
Peaks,173.108654,-35.17015998,,
Henderson Beach,173.1278801,-34.75176815,,
90 Mile Beach,173.153801,-35.03758654,,
Papamoa,176.2816215,-37.69315533,,
matauri bay,173.9175224,-35.0310506,,
T Reef,174.8556519,-36.36055,,
Elliots Bay,174.2919159,-35.27452882,,
Donut Island,175.8930874,-37.21823137,,
Lake Ferry,175.1412964,-41.39844522,,
Mt Maunganui,176.1807919,-37.63074259,,
Browns Bay Bar,174.7500211,-36.7172577,,
Ning Nong,175.2197456,-41.56460072,,
